Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking,Odds,avg_rank_last_x_years
2014,ATL,Atlanta Hawks,EAST,26.11111111111111,3.7777777777777777,226.5,78.55555555555556,12000000,1500000.0,55293144,1,14,0,0,30,0,8.0,6600,6.142857142857143
2013,ATL,Atlanta Hawks,EAST,26.83333333333333,5.333333333333333,219.66666666666663,78.27777777777777,13200000,2336763.5,66768365,0,18,0,0,29,0,6.0,8000,6.166666666666667
2012,ATL,Atlanta Hawks,EAST,29.1875,7.8125,223.875,79.125,18038573,1352181.0,73669912,1,15,0,0,28,0,4.0,5000,6.6
2011,ATL,Atlanta Hawks,EAST,27.294117647058822,5.823529411764706,224.0,79.05882352941177,16324500,2864045.0,71469843,1,13,0,0,27,0,5.0,4000,7.0
2010,ATL,Atlanta Hawks,EAST,26.5,5.642857142857143,227.3571428571429,79.35714285714286,14976754,3403820.0,65883642,1,13,0,0,26,0,3.0,5000,8.333333333333334
2009,ATL,Atlanta Hawks,EAST,25.0,3.6,221.9333333333333,78.26666666666667,14983603,2500000.0,68168841,2,13,0,0,25,0,4.0,10000,10.5
2008,ATL,Atlanta Hawks,EAST,25.0625,3.875,215.6875,78.3125,13500000,3631449.0,55501133,2,11,0,0,24,0,8.0,12500,13.0
2025,BOS,Boston Celtics,EAST,26.318181818181817,4.727272727272728,220.31578947368425,79.31818181818181,49700000,3256341.5,201620656,1,15,18,1,61,0,,300,4.611111111111111
2024,BOS,Boston Celtics,EAST,25.894736842105264,4.684210526315789,216.6315789473684,79.26315789473684,36861707,2019706.0,183679244,1,20,18,1,61,1,1.0,450,4.823529411764706
2023,BOS,Boston Celtics,EAST,26.72222222222222,5.333333333333333,225.38888888888889,78.94444444444444,30351780,3903140.5,175733265,0,18,17,0,60,0,2.0,500,5.0
2022,BOS,Boston Celtics,EAST,26.428571428571427,4.857142857142857,221.07142857142856,78.64285714285714,28103550,606702.0,134288148,2,23,17,0,59,0,2.0,4000,5.2
2021,BOS,Boston Celtics,EAST,24.904761904761905,3.571428571428572,224.0952380952381,78.04761904761905,34379100,2205960.0,130767745,1,19,17,0,58,0,7.0,1400,5.071428571428571
