,Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,winner,ranking
154,2021,ORL,Orlando Magic,EAST,24.857142857142858,3.4285714285714284,213.67857142857144,77.89285714285714,8000,28489239,2586036.0,114211579,1,22,0,0,0,14
155,2022,ORL,Orlando Magic,EAST,24.454545454545453,2.772727272727273,214.0,78.0,8000,20482143,3277080.0,125358212,0,25,0,0,0,15
156,2020,PHI,Philadelphia 76ers,EAST,25.789473684210527,4.0,218.4736842105264,78.42105263157895,1400,32742000,2028594.0,131997240,3,16,2,0,0,6
157,2021,PHI,Philadelphia 76ers,EAST,25.95652173913044,4.260869565217392,216.8260869565217,78.47826086956522,1400,34358850,1732194.5,146167304,3,17,2,0,0,1
158,2022,PHI,Philadelphia 76ers,EAST,26.39130434782609,5.0,219.08695652173915,78.56521739130434,1400,44310840,1517981.0,147997711,3,21,2,0,0,4
159,2020,PHO,Phoenix Suns,WEST,24.105263157894736,2.473684210526316,207.94736842105263,78.10526315789474,3500,27285000,3481986.0,121137310,1,18,0,0,0,10
160,2021,PHO,Phoenix Suns,WEST,26.294117647058822,4.352941176470588,213.23529411764707,78.11764705882354,3500,41358814,3925000.0,127115196,2,15,0,0,0,2
161,2022,PHO,Phoenix Suns,WEST,26.82608695652174,4.521739130434782,216.5217391304348,78.43478260869566,3500,31650600,3768342.0,135742648,2,21,0,0,0,1
162,2020,POR,Portland Trail Blazers,WEST,25.35,4.65,225.1,79.3,100000,29802321,2105520.0,137375609,2,19,1,0,0,8
163,2021,POR,Portland Trail Blazers,WEST,25.529411764705884,4.941176470588236,217.2941176470588,78.29411764705883,100000,31626953,2548235.0,130336680,2,16,1,0,0,6
164,2022,POR,Portland Trail Blazers,WEST,24.96296296296296,3.703703703703704,214.59259259259252,77.55555555555556,100000,39344900,1789256.0,123351452,1,24,1,0,0,13
165,2020,SAC,Sacramento Kings,WEST,26.08695652173913,4.304347826086956,218.69565217391303,79.17391304347827,6600,24147727,3655000.0,117679921,1,21,0,0,0,12
166,2021,SAC,Sacramento Kings,WEST,24.875,3.4166666666666665,217.04166666666663,78.70833333333333,6600,24701834,1569272.5,104931498,2,20,0,0,0,12
167,2022,SAC,Sacramento Kings,WEST,25.15384615384616,4.269230769230769,215.34615384615384,78.65384615384616,6600,28103500,3866000.0,129677197,1,21,0,0,0,12
168,2020,SAS,San Antonio Spurs,WEST,26.22222222222222,5.111111111111111,220.44444444444449,78.77777777777777,10000,27739975,2875000.0,123395102,2,17,5,0,0,11
169,2021,SAS,San Antonio Spurs,WEST,25.61111111111111,4.555555555555555,218.94444444444449,78.61111111111111,10000,27739975,2892000.0,128746873,1,20,5,0,0,10
170,2022,SAS,San Antonio Spurs,WEST,25.166666666666668,3.5416666666666665,214.54166666666663,78.25,10000,18620165,3804360.0,126730143,0,25,5,0,0,10
171,2020,TOR,Toronto Raptors,EAST,25.27777777777778,3.388888888888889,213.11111111111111,77.88888888888889,50000,33296296,1935015.5,123355096,2,18,1,1,0,2
