,totals_rank,totals_team,totals_games,totals_minutes_played,totals_field_goals,totals_field_goals_attempted,totals_field_goal_pct,totals_three_point_field_goals,totals_three_point_attempts,totals_three_point_pct,totals_two_point_field_goals,totals_two_point_attempts,totals_two_point_pct,totals_free_throws,totals_free_throw_attempts,totals_free_throw_pct,totals_offensive_rebounds,totals_defensive_rebounds,totals_total_rebounds,totals_assists,totals_steals,totals_blocks,totals_turnovers,totals_personal_fouls,totals_points
0,1,Denver Nuggets*,82,19905,3339,6983,.478,521,1518,.343,2818,5465,.516,1505,2148,.701,1092,2601,3693,2002,762,533,1253,1682,8704
1,2,Houston Rockets*,82,19780,3124,6782,.461,867,2369,.366,2257,4413,.511,1573,2087,.754,909,2652,3561,1902,679,359,1348,1662,8688
2,3,Oklahoma City Thunder*,82,19830,3126,6504,.481,598,1588,.377,2528,4916,.514,1819,2196,.828,854,2725,3579,1753,679,624,1253,1654,8669
3,4,San Antonio Spurs*,82,19880,3210,6675,.481,663,1764,.376,2547,4911,.519,1365,1725,.791,666,2721,3387,2058,695,446,1206,1427,8448
4,5,Miami Heat*,82,19880,3148,6348,.496,717,1809,.396,2431,4539,.536,1423,1887,.754,676,2490,3166,1890,710,441,1143,1533,8436
5,6,Los Angeles Lakers*,82,19755,3041,6640,.458,715,2015,.355,2326,4625,.503,1584,2289,.692,942,2732,3674,1818,576,429,1232,1467,8381
6,7,Golden State Warriors*,82,19805,3130,6840,.458,658,1632,.403,2472,5208,.475,1378,1744,.790,885,2801,3686,1845,567,346,1236,1753,8296
7,8,Dallas Mavericks,82,19980,3182,6892,.462,606,1628,.372,2576,5264,.489,1323,1669,.793,767,2670,3437,1906,648,454,1144,1698,8293
8,9,Los Angeles Clippers*,82,19730,3160,6608,.478,627,1752,.358,2533,4856,.522,1342,1888,.711,938,2475,3413,1958,784,461,1197,1716,8289
9,10,Sacramento Kings,82,19830,3086,6904,.447,610,1681,.363,2476,5223,.474,1437,1869,.769,943,2385,3328,1708,671,342,1199,1717,8219
10,11,New York Knicks*,82,19730,2996,6689,.448,891,2371,.376,2105,4318,.487,1313,1729,.759,890,2436,3326,1579,672,294,988,1650,8196
11,12,Milwaukee Bucks*,82,19830,3128,7197,.435,601,1670,.360,2527,5527,.457,1251,1700,.736,1068,2537,3605,1876,685,550,1156,1554,8108
12,13,Utah Jazz,82,19880,3046,6710,.454,507,1385,.366,2539,5325,.477,1439,1883,.764,989,2457,3446,1859,690,515,1210,1750,8038
13,14,Atlanta Hawks*,82,19855,3084,6644,.464,706,1901,.371,2378,4743,.501,1158,1619,.715,758,2593,3351,2007,664,369,1219,1473,8032
14,15,Portland Trail Blazers,82,19855,3009,6715,.448,673,1904,.353,2336,4811,.486,1304,1680,.776,874,2474,3348,1784,538,353,1203,1518,7995
15,16,Toronto Raptors,82,19980,2979,6685,.446,571,1665,.343,2408,5020,.480,1442,1831,.788,871,2426,3297,1765,595,392,1124,1836,7971
16,17,Brooklyn Nets*,82,19855,2942,6544,.450,628,1760,.357,2314,4784,.484,1432,1958,.731,1047,2460,3507,1668,599,391,1206,1500,7944
17,18,Cleveland Cavaliers,82,19730,2993,6901,.434,547,1581,.346,2446,5320,.460,1380,1826,.756,1004,2359,3363,1694,647,334,1149,1737,7913
18,19,Minnesota Timberwolves,82,19730,2943,6702,.439,450,1475,.305,2493,5227,.477,1515,2042,.742,973,2473,3446,1836,700,387,1214,1509,7851
19,20,Boston Celtics*,81,19840,3001,6459,.465,498,1390,.358,2503,5069,.494,1318,1698,.776,654,2533,3187,1843,667,365,1181,1717,7818
20,21,Phoenix Suns,82,19805,3061,6917,.443,480,1455,.330,2581,5462,.473,1203,1618,.744,959,2454,3413,1855,659,434,1278,1688,7805
21,22,Detroit Pistons,82,19805,2979,6638,.449,513,1440,.356,2466,5198,.474,1307,1870,.699,991,2463,3454,1742,574,400,1241,1623,7778
22,23,Orlando Magic,82,19780,3093,6904,.448,506,1537,.329,2587,5367,.482,1026,1359,.755,890,2612,3502,1871,528,358,1191,1591,7718
23,24,New Orleans Hornets,82,19780,2955,6589,.448,535,1474,.363,2420,5115,.473,1269,1636,.776,988,2426,3414,1721,520,440,1193,1673,7714
24,25,Indiana Pacers*,81,19590,2845,6525,.436,555,1599,.347,2290,4926,.465,1429,1915,.746,1043,2671,3714,1645,580,513,1227,1623,7674
25,26,Charlotte Bobcats,82,19805,2823,6649,.425,469,1399,.335,2354,5250,.448,1546,2060,.750,917,2389,3306,1587,591,479,1153,1561,7661
26,27,Memphis Grizzlies*,82,19805,2964,6679,.444,382,1107,.345,2582,5572,.463,1349,1746,.773,1059,2445,3504,1715,703,436,1144,1660,7659
27,28,Washington Wizards,82,19855,2910,6693,.435,545,1495,.365,2365,5198,.455,1279,1746,.733,887,2652,3539,1775,598,376,1238,1681,7644
28,29,Chicago Bulls*,82,19830,2926,6698,.437,446,1265,.353,2480,5433,.456,1343,1738,.773,1026,2514,3540,1886,588,417,1171,1617,7641
29,30,Philadelphia 76ers,82,19755,3059,6895,.444,518,1438,.360,2541,5457,.466,1004,1377,.729,896,2493,3389,1867,609,384,1070,1505,7640
30,,League Average,82,19816,3043,6720,.453,587,1636,.359,2456,5085,.483,1369,1818,.753,915,2537,3453,1814,639,421,1192,1626,8041
31,1,Los Angeles Clippers*,82,19755,3208,6761,.474,693,1966,.352,2515,4795,.525,1741,2384,.730,858,2668,3526,2016,703,397,1136,1767,8850
32,2,Houston Rockets*,82,19830,3118,6603,.472,779,2179,.358,2339,4424,.529,1814,2549,.712,920,2797,3717,1755,621,461,1323,1676,8829
33,3,Minnesota Timberwolves,82,19855,3189,7175,.444,600,1757,.341,2589,5418,.478,1790,2301,.778,1024,2644,3668,1963,718,297,1142,1504,8768
34,4,Portland Trail Blazers*,82,19855,3207,7134,.450,770,2071,.372,2437,5063,.481,1569,1926,.815,1022,2786,3808,1904,454,387,1125,1576,8753
35,5,Oklahoma City Thunder*,82,19805,3194,6782,.471,664,1839,.361,2530,4943,.512,1653,2052,.806,887,2781,3668,1794,678,501,1256,1858,8705
36,6,San Antonio Spurs*,82,19755,3326,6844,.486,698,1757,.397,2628,5087,.517,1289,1642,.785,762,2786,3548,2064,604,420,1180,1495,8639
37,7,Phoenix Suns,82,19755,3172,6845,.463,765,2055,.372,2407,4790,.503,1520,2004,.758,928,2601,3529,1563,688,374,1258,1798,8629
38,8,Dallas Mavericks*,82,19830,3249,6858,.474,721,1877,.384,2528,4981,.508,1378,1733,.795,840,2514,3354,1935,704,356,1110,1636,8597
39,9,Denver Nuggets,82,19755,3147,7042,.447,702,1959,.358,2445,5083,.481,1563,2154,.726,1009,2717,3726,1838,615,459,1305,1890,8559
40,10,Golden State Warriors*,82,19830,3236,7005,.462,774,2037,.380,2462,4968,.496,1303,1731,.753,896,2819,3715,1912,642,407,1247,1784,8549
41,11,Los Angeles Lakers,82,19705,3139,6980,.450,774,2032,.381,2365,4948,.478,1390,1835,.757,745,2620,3365,2006,611,446,1239,1627,8442
42,12,Miami Heat*,82,19880,3142,6272,.501,665,1829,.364,2477,4443,.558,1431,1884,.760,627,2397,3024,1847,732,367,1212,1596,8380
43,13,Toronto Raptors*,82,19955,2992,6718,.445,713,1917,.372,2279,4801,.475,1608,2055,.782,935,2552,3487,1737,577,343,1159,1882,8305
44,14,Detroit Pistons,82,19780,3182,7124,.447,507,1580,.321,2675,5544,.483,1415,2111,.670,1196,2525,3721,1714,687,395,1193,1666,8286
45,15,Atlanta Hawks*,82,19830,3061,6688,.458,768,2116,.363,2293,4572,.502,1392,1782,.781,713,2565,3278,2041,680,326,1251,1577,8282
46,16,Washington Wizards*,82,20055,3177,6920,.459,647,1704,.380,2530,5216,.485,1253,1715,.731,886,2573,3459,1909,668,377,1204,1675,8254
47,17,Sacramento Kings,82,19830,3026,6766,.447,491,1475,.333,2535,5291,.479,1698,2237,.759,990,2656,3646,1547,587,318,1249,1849,8241
48,18,New Orleans Pelicans,82,19855,3101,6761,.459,486,1303,.373,2615,5458,.479,1489,1936,.769,933,2486,3419,1745,647,523,1129,1857,8177
49,19,Philadelphia 76ers,82,19855,3108,7150,.435,577,1847,.312,2531,5303,.477,1362,1918,.710,949,2556,3505,1791,765,330,1384,1844,8155
50,20,New York Knicks,82,19855,3027,6739,.449,759,2038,.372,2268,4701,.482,1271,1670,.761,870,2437,3307,1641,631,367,1063,1815,8084
51,21,Brooklyn Nets*,82,19880,2931,6391,.459,709,1922,.369,2222,4469,.497,1508,2002,.753,721,2407,3128,1714,705,311,1191,1777,8079
52,22,Cleveland Cavaliers,82,19930,3036,6955,.437,584,1640,.356,2452,5315,.461,1398,1861,.751,989,2629,3618,1738,579,304,1163,1640,8054
53,23,Charlotte Bobcats*,82,19905,2976,6730,.442,516,1471,.351,2460,5259,.468,1474,2000,.737,776,2724,3500,1778,499,421,1010,1493,7942
54,24,Indiana Pacers*,82,19780,2949,6573,.449,550,1542,.357,2399,5031,.477,1485,1907,.779,834,2831,3665,1651,550,446,1237,1675,7933
55,25,Orlando Magic,82,19955,3022,6784,.445,563,1596,.353,2459,5188,.474,1307,1714,.763,794,2654,3448,1726,630,350,1222,1678,7914
56,26,Boston Celtics,82,19730,2996,6883,.435,575,1729,.333,2421,5154,.470,1325,1706,.777,980,2505,3485,1726,584,343,1261,1743,7892
57,27,Memphis Grizzlies*,82,19805,3122,6723,.464,405,1147,.353,2717,5576,.487,1235,1666,.741,950,2526,3476,1792,631,375,1124,1568,7884
58,28,Milwaukee Bucks,82,19880,2952,6737,.438,548,1553,.353,2404,5184,.464,1377,1843,.747,971,2399,3370,1760,541,403,1238,1713,7829
59,29,Utah Jazz,82,19780,2951,6652,.444,543,1577,.344,2408,5075,.474,1346,1803,.747,904,2477,3381,1664,570,366,1200,1699,7791
60,30,Chicago Bulls*,82,19930,2843,6577,.432,508,1459,.348,2335,5118,.456,1486,1908,.779,937,2683,3620,1860,594,424,1223,1565,7680
61,,League Average,82,19840,3093,6806,.454,635,1766,.360,2458,5040,.488,1462,1934,.756,895,2611,3505,1804,630,386,1201,1697,8283
62,1,Golden State Warriors*,82,19730,3410,7137,.478,883,2217,.398,2527,4920,.514,1313,1709,.768,853,2814,3667,2248,762,496,1185,1628,9016
63,2,Los Angeles Clippers*,82,19730,3228,6830,.473,827,2202,.376,2401,4628,.519,1468,2067,.710,784,2711,3495,2031,640,409,1012,1749,8751
64,3,Dallas Mavericks*,82,19880,3255,7036,.463,732,2082,.352,2523,4954,.509,1386,1843,.752,858,2608,3466,1846,663,371,1062,1644,8628
65,4,Toronto Raptors*,82,19855,3108,6829,.455,726,2060,.352,2382,4769,.499,1585,2014,.787,881,2526,3407,1701,615,357,1057,1712,8527
66,5,Oklahoma City Thunder,82,19830,3184,7119,.447,632,1864,.339,2552,5255,.486,1524,2020,.754,1052,2844,3896,1681,598,454,1205,1829,8524
67,6,Houston Rockets*,82,19805,3032,6832,.444,933,2680,.348,2099,4152,.506,1525,2133,.715,958,2624,3582,1820,777,407,1366,1803,8522
68,7,San Antonio Spurs*,82,19955,3208,6854,.468,677,1847,.367,2531,5007,.505,1368,1754,.780,806,2772,3578,2000,657,444,1146,1564,8461
