,totals_rank,totals_team,totals_games,totals_minutes_played,totals_field_goals,totals_field_goals_attempted,totals_field_goal_pct,totals_three_point_field_goals,totals_three_point_attempts,totals_three_point_pct,totals_two_point_field_goals,totals_two_point_attempts,totals_two_point_pct,totals_free_throws,totals_free_throw_attempts,totals_free_throw_pct,totals_offensive_rebounds,totals_defensive_rebounds,totals_total_rebounds,totals_assists,totals_steals,totals_blocks,totals_turnovers,totals_personal_fouls,totals_points
272,25,Miami Heat*,72,17380,2824,6029,.468,932,2606,.358,1892,3423,.553,1201,1520,.790,579,2409,2988,1895,569,286,1013,1363,7781
273,26,New York Knicks*,72,17430,2839,6225,.456,847,2163,.392,1992,4062,.490,1181,1506,.784,696,2554,3250,1541,507,365,932,1473,7706
274,27,Detroit Pistons,72,17430,2783,6162,.452,832,2370,.351,1951,3792,.515,1278,1683,.759,694,2381,3075,1743,531,371,1075,1477,7676
275,28,Oklahoma City Thunder,72,17355,2795,6338,.441,857,2529,.339,1938,3809,.509,1113,1536,.725,715,2568,3283,1588,504,316,1162,1305,7560
276,29,Orlando Magic,72,17330,2754,6423,.429,784,2288,.343,1970,4135,.476,1196,1543,.775,747,2525,3272,1571,496,318,924,1237,7488
277,30,Cleveland Cavaliers,72,17430,2778,6175,.450,720,2141,.336,2058,4034,.510,1200,1614,.743,751,2327,3078,1716,559,325,1114,1308,7476
278,,League Average,72,17383,2967,6366,.466,914,2494,.367,2053,3872,.530,1222,1571,.778,708,2482,3190,1786,545,351,996,1389,8071
279,1,Minnesota Timberwolves*,82,19780,3411,7458,.457,1211,3386,.358,2200,4072,.540,1474,1894,.778,921,2700,3621,2106,721,460,1175,1786,9507
280,2,Memphis Grizzlies*,82,19780,3571,7739,.461,945,2679,.353,2626,5060,.519,1393,1898,.734,1159,2873,4032,2131,800,533,1082,1620,9480
281,3,Milwaukee Bucks*,82,19755,3429,7331,.468,1153,3151,.366,2276,4180,.544,1459,1881,.776,840,2990,3830,1960,623,326,1100,1494,9470
282,4,Charlotte Hornets,82,19880,3508,7497,.468,1143,3130,.365,2365,4367,.542,1298,1753,.740,888,2767,3655,2302,707,402,1087,1629,9457
283,5,Phoenix Suns*,82,19730,3581,7389,.485,951,2616,.364,2630,4773,.551,1303,1635,.797,801,2913,3714,2244,702,359,1060,1633,9416
284,6,Atlanta Hawks*,82,19705,3401,7241,.470,1056,2821,.374,2345,4420,.531,1485,1829,.812,823,2783,3606,2017,587,348,972,1534,9343
285,7,Utah Jazz*,82,19730,3327,7067,.471,1192,3308,.360,2135,3759,.568,1470,1916,.767,884,2916,3800,1836,588,402,1149,1547,9316
286,8,San Antonio Spurs,82,19805,3546,7601,.467,925,2626,.352,2621,4975,.527,1262,1673,.754,901,2815,3716,2289,626,403,1043,1483,9279
287,9,Brooklyn Nets*,82,19755,3442,7251,.475,940,2602,.361,2502,4649,.538,1434,1781,.805,844,2796,3640,2071,582,448,1153,1670,9258
288,10,Denver Nuggets*,82,19805,3416,7079,.483,1039,2944,.353,2377,4135,.575,1372,1725,.795,752,2865,3617,2279,592,305,1189,1639,9243
289,11,Los Angeles Lakers,82,19980,3415,7279,.469,982,2826,.347,2433,4453,.546,1380,1884,.732,782,2826,3608,1968,626,425,1191,1654,9192
290,12,Boston Celtics*,82,19905,3341,7167,.466,1085,3044,.356,2256,4123,.547,1397,1713,.816,863,2915,3778,2036,591,478,1118,1521,9164
291,13,Chicago Bulls*,82,19730,3422,7127,.480,872,2364,.369,2550,4763,.535,1436,1766,.813,711,2760,3471,1958,585,336,1053,1540,9152
292,14,Indiana Pacers,82,19880,3398,7338,.463,997,2899,.344,2401,4439,.541,1347,1754,.768,925,2671,3596,2081,582,457,1183,1675,9140
293,15,Golden State Warriors*,82,19730,3323,7087,.469,1176,3231,.364,2147,3856,.557,1280,1665,.769,800,2930,3730,2223,719,372,1221,1723,9102
294,16,Sacramento Kings,82,19805,3321,7223,.460,937,2722,.344,2384,4501,.530,1466,1908,.768,784,2737,3521,1943,588,369,1156,1552,9045
295,17,Miami Heat*,82,19855,3246,6954,.467,1114,2936,.379,2132,4018,.531,1416,1753,.808,807,2778,3585,2090,606,265,1194,1679,9022
296,18,Philadelphia 76ers*,82,19805,3230,6932,.466,950,2608,.364,2280,4324,.527,1605,1955,.821,700,2770,3470,1945,633,435,1027,1590,9015
297,19,Houston Rockets,82,19755,3229,7083,.456,1105,3170,.349,2124,3913,.543,1434,2010,.713,786,2660,3446,1932,600,382,1351,1692,8997
298,20,Toronto Raptors*,82,19855,3332,7489,.445,979,2808,.349,2353,4681,.503,1327,1749,.759,1095,2622,3717,1809,738,376,1021,1607,8970
299,21,New Orleans Pelicans*,82,19755,3294,7212,.457,873,2629,.332,2421,4583,.528,1501,1903,.789,981,2726,3707,2047,680,328,1153,1612,8962
300,22,Washington Wizards,82,19830,3327,7056,.472,860,2512,.342,2467,4544,.543,1393,1778,.783,737,2798,3535,2052,522,406,1077,1545,8907
301,23,Los Angeles Clippers,82,19780,3285,7170,.458,1047,2802,.374,2238,4368,.512,1273,1606,.793,747,2860,3607,1969,608,406,1126,1528,8890
