totals_minutes_played,totals_field_goals,totals_field_goals_attempted,totals_field_goal_pct,totals_three_point_field_goals,totals_three_point_attempts,totals_three_point_pct,totals_two_point_field_goals,totals_two_point_attempts,totals_two_point_pct,totals_free_throws,totals_free_throw_attempts,totals_free_throw_pct,totals_offensive_rebounds,totals_defensive_rebounds,totals_total_rebounds,totals_assists,totals_steals,totals_blocks,totals_turnovers,totals_personal_fouls,totals_points,made_playoffs,season,team_abbr,advanced_age,advanced_wins,advanced_losses,advanced_pythagorean_wins,advanced_pythagorean_losses,advanced_margin_of_victory,advanced_strength_of_schedule,advanced_simple_rating_system,advanced_offensive_rating,advanced_defensive_rating,advanced_net_rating,advanced_pace,advanced_free_throw_rate,advanced_three_point_attempt_rate,advanced_true_shooting_pct,advanced_offensive_effective_fg_pct,advanced_offensive_turnover_pct,advanced_offensive_offensive_rebound_pct,advanced_offensive_ft_per_fga,advanced_defensive_effective_fg_pct,advanced_defensive_turnover_pct,advanced_defensive_defensive_rebound_pct,advanced_defensive_ft_per_fga,advanced_arena,advanced_attendance,advanced_attendance_per_game,shooting_minutes_played,shooting_field_goal_pct,shooting_average_shot_distance,shooting_two_point_attempt_pct,shooting_fga_0_3_pct,shooting_fga_3_10_pct,shooting_fga_10_16_pct,shooting_fga_16_to_3pt_pct,shooting_three_point_attempt_pct,shooting_two_point_fg_pct,shooting_fg_0_3_pct,shooting_fg_3_10_pct,shooting_fg_10_16_pct,shooting_fg_16_to_3pt_pct,shooting_three_point_fg_pct,shooting_two_point_fg_assisted_pct,shooting_three_point_fg_assisted_pct,shooting_dunks_fga_pct,shooting_dunks_made,shooting_layups_fga_pct,shooting_layups_made,shooting_corner_three_pct_fga,shooting_corner_three_fg_pct,shooting_heaves_attempted,shooting_heaves_made
19855,3170,7285,0.435,906,2549,0.355,2264,4736,0.478,1194,1574,0.759,790,2873,3663,1923,626,289,1147,1571,8440,0,2018,CHI,24.4,27,55,23,59,-7.04,0.20,-6.84,103.8,110.9,-7.1,98.3,.216,.350,.529,.497,12.6,20.6,.164,.542,12.4,80.6,.184,United Center,"851,824","20,776",19855,.435,13.6,.650,.254,.165,.095,.135,.350,.478,.624,.390,.388,.377,.355,.510,.848,.039,261,.250,942,.184,.372,15,0
19905,3266,7205,0.453,745,2123,0.351,2521,5082,0.496,1328,1695,0.783,718,2799,3517,1796,603,351,1159,1663,8605,0,2019,CHI,24.0,22,60,21,61,-8.41,0.10,-8.32,104.8,113.2,-8.4,99.0,.235,.295,.541,.505,12.7,19.4,.184,.541,11.9,77.3,.188,United Center,"823,475","20,085",19905,.453,12.4,.705,.310,.191,.104,.101,.295,.496,.627,.408,.392,.368,.351,.465,.838,.052,340,.295,1112,.218,.400,14,0
15675,2573,5762,0.447,793,2282,0.348,1780,3480,0.511,1006,1332,0.755,680,2041,2721,1510,652,265,1005,1417,6945,0,2020,CHI,24.4,22,43,26,39,-3.08,-0.93,-4.00,106.7,109.8,-3.1,99.7,.231,.396,.547,.515,13.7,22.8,.175,.546,16.3,75.6,.239,United Center,"639,352","18,804",15675,.447,13.3,.604,.340,.152,.057,.055,.396,.511,.627,.362,.375,.354,.348,.487,.812,.072,372,.305,900,.225,.383,13,0
17380,3035,6380,0.476,904,2446,0.37,2131,3934,0.542,995,1258,0.791,693,2544,3237,1927,482,304,1089,1362,7969,0,2021,CHI,25.6,31.0,41.0,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,United Center,"13,655",379,17380,.476,13.8,.617,.275,.178,.085,.079,.383,.542,.672,.447,.428,.425,.370,.549,.838,.048,281,.282,1021,.231,.427,13,1
19730,3422,7127,0.48,872,2364,0.369,2550,4763,0.535,1436,1766,0.813,711,2760,3471,1958,585,336,1053,1540,9152,1,2022,CHI,26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,.248,.332,.579,.541,11.8,20.4,.201,.541,11.9,78.3,.199,United Center,"856,148","20,882",19730,.480,13.8,.668,.259,.151,.127,.131,.332,.535,.677,.452,.450,.435,.369,.476,.852,.050,321,.247,1019,.273,.418,18,1
19905,3488,7116,0.49,854,2367,0.361,2634,4749,0.555,1446,1788,0.809,694,2779,3473,2006,644,371,1097,1551,9276,0,2023,CHI,27.5,40,42,44,38,1.29,0.07,1.37,113.5,112.2,+1.3,98.5,.251,.333,.587,.550,12.2,20.1,.203,.544,13.5,77.8,.197,United Center,"841,632","20,528",19905,.490,13.6,.667,.281,.146,.116,.125,.333,.555,.683,.474,.464,.446,.361,.474,.886,.054,329,.273,1163,.262,.397,4,0
19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913,0,2013,CLE,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,.265,.229,.514,.473,13.0,28.1,.200,.523,14.4,72.6,.225,Quicken Loans Arena,"663,882","16,192",19730,.434,12.4,.771,.294,.174,.116,.188,.229,.460,.584,.352,.385,.411,.346,.509,.821,.057,338,.222,804,.211,.338,12,1
19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054,0,2014,CLE,24.9,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,.268,.236,.518,.479,13.0,27.2,.201,.508,13.0,75.8,.199,Quicken Loans Arena,"710,522","17,330",19930,.437,12.8,.764,.269,.170,.128,.197,.236,.461,.583,.388,.394,.402,.356,.513,.820,.045,278,.212,791,.252,.373,19,0
19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457,1,2015,CLE,26.9,53,29,53,29,4.48,-0.40,4.08,111.1,106.3,+4.8,92.3,.287,.334,.557,.520,13.4,26.8,.216,.502,12.6,74.7,.177,Quicken Loans Arena,"843,042","20,562",19780,.458,12.8,.666,.295,.155,.092,.124,.334,.504,.647,.360,.387,.432,.367,.509,.803,.064,393,.215,848,.289,.365,4,1
19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,1,2016,CLE,28.1,57,25,57,25,6.00,-0.55,5.45,110.9,104.5,+6.4,93.3,.259,.352,.558,.524,12.7,25.1,.194,.496,12.6,78.5,.205,Quicken Loans Arena,"843,042","20,562",19855,.460,13.3,.648,.280,.149,.095,.125,.352,.514,.658,.391,.378,.438,.362,.481,.861,.057,358,.227,920,.260,.391,5,1
19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048,1,2017,CLE,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,+3.3,96.2,.275,.399,.580,.547,12.6,21.9,.206,.516,11.4,75.8,.174,Quicken Loans Arena,"843,042","20,562",19880,.470,14.4,.601,.284,.110,.092,.115,.399,.528,.666,.362,.427,.425,.384,.441,.829,.059,381,.231,944,.293,.412,7,0
19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1126,1524,9091,1,2018,CLE,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,+1.0,98.0,.275,.379,.584,.547,12.6,20.1,.214,.540,12.2,77.3,.166,Quicken Loans Arena,"843,042","20,562",19730,.476,13.8,.621,.297,.113,.092,.119,.379,.540,.706,.368,.413,.387,.372,.478,.819,.051,319,.269,1163,.252,.417,13,0
19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,0,2019,CLE,25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,.236,.332,.540,.503,12.2,23.7,.187,.564,11.5,77.0,.181,Quicken Loans Arena,"793,337","19,350",19755,.444,13.4,.668,.277,.171,.114,.105,.332,.488,.619,.390,.411,.387,.355,.435,.802,.040,248,.272,1042,.207,.360,11,0
15725,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,983,1296,0.758,704,2172,2876,1500,447,211,1073,1188,6948,0,2020,CLE,25.0,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,.227,.362,.553,.522,14.6,24.6,.172,.560,11.7,77.4,.164,Rocket Mortgage Fieldhouse,"643,008","17,861",15725,.458,13.2,.638,.297,.183,.101,.057,.362,.519,.640,.407,.443,.385,.351,.472,.835,.057,295,.267,833,.188,.396,7,0
17430,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,1200,1614,0.743,751,2327,3078,1716,559,325,1114,1308,7476,0,2021,CLE,24.0,22.0,50.0,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,Rocket Mortgage Fieldhouse,"91,476","2,541",17430,.450,12.6,.653,.310,.211,.085,.047,.347,.510,.626,.419,.400,.354,.336,.540,.840,.061,341,.289,946,.220,.376,4,0
19730,3255,6940,0.469,953,2686,0.355,2302,4254,0.541,1376,1810,0.76,837,2786,3623,2064,580,343,1181,1433,8839,0,2022,CLE,24.7,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,+2.2,96.1,.261,.387,.571,.538,13.2,24.0,.198,.520,12.3,76.5,.172,Rocket Mortgage Fieldhouse,"758,228","18,493",19730,.469,13.7,.613,.284,.182,.091,.056,.387,.541,.697,.402,.426,.391,.355,.556,.822,.080,501,.243,944,.235,.332,9,1
19880,3408,6984,0.488,950,2589,0.367,2458,4395,0.559,1439,1844,0.78,795,2574,3369,2045,586,384,1094,1560,9205,1,2023,CLE,25.4,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,+5.5,95.7,.264,.371,.590,.556,12.3,23.6,.206,.535,14.4,76.3,.210,Rocket Mortgage Fieldhouse,"777,280","18,958",19880,.488,13.2,.629,.278,.196,.092,.054,.371,.559,.717,.440,.450,.378,.367,.545,.715,.084,536,.239,982,.238,.367,12,0
19980,3182,6892,0.462,606,1628,0.372,2576,5264,0.489,1323,1669,0.793,767,2670,3437,1906,648,454,1144,1698,8293,0,2013,DAL,29.5,41,41,39,43,-0.60,0.36,-0.24,105.9,106.5,-0.6,94.1,.242,.236,.544,.506,13.0,21.8,.192,.492,13.3,73.1,.227,American Airlines Center,"821,490","20,036",19980,.462,13.0,.764,.242,.179,.160,.182,.236,.489,.627,.432,.412,.431,.372,.538,.860,.031,196,.198,813,.232,.363,18,0
19830,3249,6858,0.474,721,1877,0.384,2528,4981,0.508,1378,1733,0.795,840,2514,3354,1935,704,356,1110,1636,8597,1,2014,DAL,30.6,49,33,48,34,2.40,0.50,2.91,111.2,108.7,+2.5,93.5,.253,.274,.564,.526,12.7,24.6,.201,.515,14.8,72.7,.229,American Airlines Center,"817,982","19,951",19830,.474,13.2,.726,.262,.156,.135,.173,.274,.508,.655,.418,.426,.428,.384,.520,.861,.047,308,.206,856,.199,.412,15,0
19880,3255,7036,0.463,732,2082,0.352,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628,1,2015,DAL,29.9,50,32,49,33,2.90,0.46,3.36,109.5,106.4,+3.1,95.2,.262,.296,.550,.515,11.9,23.6,.197,.503,14.7,72.2,.204,American Airlines Center,"827,702","20,188",19880,.463,12.8,.704,.288,.140,.094,.182,.296,.509,.659,.382,.420,.417,.352,.482,.857,.057,364,.220,933,.229,.393,10,1
20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388,1,2016,DAL,30.3,42,40,40,42,-0.30,0.29,-0.02,106.7,107.0,-0.3,94.3,.265,.339,.544,.502,12.0,20.6,.211,.504,12.8,76.2,.198,American Airlines Center,"825,901","20,144",20005,.444,13.7,.661,.243,.149,.111,.159,.339,.495,.656,.369,.431,.412,.344,.500,.847,.033,214,.214,879,.213,.390,17,0
19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,647,2516,3163,1705,614,307,972,1567,8029,0,2017,DAL,27.6,33,49,33,49,-2.93,0.40,-2.53,105.6,108.8,-3.2,92.2,.225,.366,.541,.505,11.6,18.1,.180,.529,14.4,77.6,.218,American Airlines Center,"811,366","19,789",19780,.440,15.4,.634,.201,.127,.116,.189,.366,.489,.637,.444,.441,.391,.355,.474,.813,.040,237,.167,650,.196,.371,17,0
19805,3128,7042,0.444,967,2688,0.36,2161,4354,0.496,1167,1530,0.763,666,2717,3383,1858,578,310,1007,1578,8390,0,2018,DAL,27.7,24,58,33,49,-3.04,0.34,-2.70,106.3,109.5,-3.2,95.6,.217,.382,.544,.513,11.5,18.0,.166,.532,12.8,78.9,.193,American Airlines Center,"811,453","19,792",19805,.444,14.4,.618,.241,.135,.105,.137,.382,.496,.652,.400,.385,.405,.360,.491,.824,.048,295,.222,850,.169,.416,20,0
19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,0,2019,DAL,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,.291,.422,.555,.519,12.7,22.7,.216,.522,11.6,77.5,.191,American Airlines Center,"820,569","20,014",19780,.447,14.5,.578,.268,.157,.088,.065,.422,.524,.677,.400,.397,.371,.340,.506,.806,.067,428,.233,917,.194,.383,27,1
18175,3124,6772,0.461,1136,3095,0.367,1988,3677,0.541,1392,1787,0.779,791,2729,3520,1849,460,363,953,1462,8776,1,2020,DAL,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,+5.0,99.3,.264,.457,.581,.545,11.2,23.2,.206,.525,10.6,77.7,.175,American Airlines Center,"682,096","20,062",18175,.461,15.2,.543,.245,.162,.082,.053,.457,.541,.696,.407,.413,.431,.367,.483,.783,.054,325,.236,927,.204,.408,20,0
17305,2958,6287,0.47,994,2744,0.362,1964,3543,0.554,1186,1524,0.778,657,2463,3120,1647,450,311,869,1396,8096,1,2021,DAL,26.3,42.0,30.0,41,31,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,American Airlines Center,"94,849","2,635",17305,.470,15.3,.564,.230,.152,.111,.071,.436,.554,.715,.429,.475,.426,.362,.445,.778,.055,291,.215,796,.208,.368,14,1
19755,3222,6982,0.461,1073,3063,0.35,2149,3919,0.548,1341,1739,0.771,759,2769,3528,1918,552,325,1025,1612,8858,1,2022,DAL,26.7,52,30,50,32,3.30,-0.18,3.12,112.8,109.4,+3.4,95.4,.249,.439,.572,.538,11.7,21.3,.192,.521,12.2,78.0,.185,American Airlines Center,"808,037","19,708",19755,.461,15.3,.561,.206,.176,.108,.071,.439,.548,.736,.450,.452,.395,.350,.502,.783,.059,357,.208,874,.262,.398,15,0
19930,3283,6909,0.475,1246,3362,0.371,2037,3547,0.574,1554,2057,0.755,625,2556,3181,1880,514,304,1002,1697,9366,0,2023,DAL,27.8,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,+0.1,96.6,.298,.487,.599,.565,11.4,18.0,.225,.549,11.9,75.5,.226,American Airlines Center,"827,282","20,178",19930,.475,15.6,.513,.218,.169,.080,.046,.487,.574,.708,.499,.470,.396,.371,.448,.776,.050,304,.226,937,.271,.403,26,1
19905,3339,6983,0.478,521,1518,0.343,2818,5465,0.516,1505,2148,0.701,1092,2601,3693,2002,762,533,1253,1682,8704,1,2013,DEN,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,+5.3,95.1,.308,.217,.549,.515,13.6,31.4,.216,.493,14.3,71.8,.193,Pepsi Center,"730,616","17,820",19905,.478,10.4,.783,.415,.172,.080,.115,.217,.516,.655,.368,.347,.352,.343,.551,.862,.100,642,.300,1200,.345,.351,21,0
19755,3147,7042,0.447,702,1959,0.358,2445,5083,0.481,1563,2154,0.726,1009,2717,3726,1838,615,459,1305,1890,8559,0,2014,DEN,26.0,36,46,35,47,-2.15,0.75,-1.40,106.0,108.2,-2.2,98.1,.306,.278,.536,.497,14.0,27.5,.222,.500,12.8,74.5,.233,Pepsi Center,"692,898","16,900",19755,.447,12.5,.722,.309,.182,.080,.150,.278,.481,.634,.373,.351,.366,.358,.518,.813,.066,425,.233,933,.240,.416,20,0
19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.734,1012,2653,3665,1788,641,367,1166,1882,8320,0,2015,DEN,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,.278,.284,.518,.479,12.7,26.6,.204,.504,13.0,74.7,.239,Pepsi Center,"602,707","14,700",19880,.433,12.3,.716,.299,.176,.090,.152,.284,.476,.622,.351,.396,.379,.325,.506,.839,.057,358,.224,901,.236,.344,22,1
19830,3093,7003,0.442,656,1943,0.338,2437,5060,0.482,1513,1974,0.766,941,2718,3659,1858,609,395,1202,1723,8355,0,2016,DEN,24.7,33,49,33,49,-3.10,0.29,-2.81,105.6,108.9,-3.3,95.7,.282,.277,.531,.489,13.2,25.8,.216,.515,12.6,77.3,.216,Pepsi Center,"577,898","14,095",19830,.442,11.8,.723,.342,.158,.080,.142,.277,.482,.586,.389,.373,.397,.338,.543,.811,.055,356,.287,1053,.210,.340,18,2
19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2837,3803,2077,568,323,1226,1567,9161,0,2017,DEN,25.2,40,42,42,40,0.51,0.19,0.70,113.2,112.7,+0.5,98.3,.276,.329,.568,.530,13.2,27.3,.214,.532,10.9,78.7,.194,Pepsi Center,"605,585","14,672",19755,.469,12.8,.671,.330,.156,.078,.108,.329,.519,.626,.441,.386,.397,.368,.526,.870,.053,347,.283,1156,.192,.387,19,0
19880,3338,7102,0.47,940,2536,0.371,2398,4566,0.525,1404,1830,0.767,902,2748,3650,2059,627,404,1226,1533,9020,0,2018,DEN,25.1,46,36,45,37,1.48,0.09,1.57,112.5,111.0,+1.5,96.8,.258,.357,.570,.536,13.4,25.7,.198,.539,12.6,77.5,.173,Pepsi Center,"702,796","17,141",19880,.470,12.8,.643,.275,.204,.090,.074,.357,.525,.664,.424,.441,.391,.371,.526,.848,.055,356,.302,1157,.167,.417,26,0
19730,3439,7384,0.466,903,2571,0.351,2536,4813,0.527,1294,1714,0.755,972,2832,3804,2245,634,363,1102,1644,9075,1,2019,DEN,24.9,54,28,51,31,3.95,0.24,4.19,113.0,108.9,+4.1,97.7,.232,.348,.558,.527,11.9,26.6,.175,.521,12.3,78.0,.194,Pepsi Center,"756,457","18,450",19730,.466,13.1,.652,.277,.203,.101,.070,.348,.527,.674,.407,.457,.394,.351,.571,.883,.053,348,.270,1103,.183,.406,17,1
17745,3069,6488,0.473,801,2234,0.359,2268,4254,0.533,1185,1526,0.777,786,2436,3222,1952,586,337,1005,1485,8124,1,2020,DEN,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111.0,+2.1,97.1,.235,.344,.567,.535,12.3,24.8,.183,.533,12.9,76.8,.198,Pepsi Center,"633,153","19,186",17745,.473,13.3,.656,.278,.180,.105,.092,.344,.533,.687,.402,.417,.456,.359,.560,.853,.056,326,.270,1003,.208,.401,19,1
17480,3114,6422,0.485,927,2462,0.377,2187,3960,0.552,1129,1406,0.803,758,2442,3200,1933,582,323,972,1374,8284,1,2021,DEN,26.1,47.0,25.0,47,25,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,Ball Arena,"54,563","1,516",17480,.485,14.1,.617,.226,.215,.095,.081,.383,.552,.730,.460,.444,.425,.377,.523,.851,.051,295,.268,1005,.219,.429,16,0
19805,3416,7079,0.483,1039,2944,0.353,2377,4135,0.575,1372,1725,0.795,752,2865,3617,2279,592,305,1189,1639,9243,1,2022,DEN,27.7,48,34,47,35,2.30,-0.15,2.16,114.5,112.1,+2.4,97.8,.244,.416,.590,.556,13.2,21.9,.194,.537,11.7,78.3,.188,Ball Arena,"695,262","16,958",19805,.483,14.4,.584,.236,.204,.073,.071,.416,.575,.744,.480,.439,.427,.353,.584,.857,.059,373,.266,1128,.265,.384,24,0
19755,3574,7088,0.504,969,2559,0.379,2605,4529,0.575,1378,1834,0.751,828,2699,3527,2368,618,368,1192,1525,9495,1,2023,DEN,26.6,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,+3.4,98.1,.259,.361,.601,.573,13.1,24.8,.194,.543,12.2,76.4,.201,Ball Arena,"788,635","19,235",19755,.504,13.2,.639,.258,.213,.083,.077,.361,.575,.758,.477,.401,.421,.379,.597,.808,.080,509,.279,1188,.251,.407,27,2
19805,2979,6638,0.449,513,1440,0.356,2466,5198,0.474,1307,1870,0.699,991,2463,3454,1742,574,400,1241,1623,7778,0,2013,DET,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,.282,.217,.521,.487,14.3,28.3,.197,.505,13.1,73.0,.209,The Palace of Auburn Hills,"606,094","14,685",19805,.449,11.1,.783,.370,.172,.072,.169,.217,.474,.609,.347,.340,.366,.356,.514,.926,.054,320,.301,1125,.267,.356,16,0
19780,3182,7124,0.447,507,1580,0.321,2675,5544,0.483,1415,2111,0.67,1196,2525,3721,1714,687,395,1193,1666,8286,0,2014,DET,24.7,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,.296,.222,.514,.482,12.9,31.4,.199,.520,13.8,73.4,.218,The Palace of Auburn Hills,"616,005","15,025",19780,.447,11.1,.778,.356,.197,.068,.157,.222,.483,.640,.344,.369,.348,.321,.493,.779,.052,342,.284,1204,.251,.396,24,0
19830,3041,7038,0.432,703,2043,0.344,2338,4995,0.468,1292,1838,0.703,1051,2630,3681,1771,623,383,1099,1559,8077,0,2015,DET,25.9,32,50,38,44,-1.00,-0.39,-1.39,105.3,106.4,-1.1,92.8,.261,.290,.515,.482,12.3,27.7,.184,.502,13.2,75.0,.192,The Palace of Auburn Hills,"625,917","15,266",19830,.432,11.8,.710,.324,.192,.065,.128,.290,.468,.600,.329,.382,.386,.344,.512,.815,.043,273,.247,981,.240,.396,20,0
19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,1399,2095,0.668,1021,2777,3798,1594,573,304,1110,1557,8361,1,2016,DET,25.0,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,+0.6,95.1,.296,.303,.522,.491,12.2,27.0,.197,.504,12.5,79.3,.196,The Palace of Auburn Hills,"677,138","16,516",19880,.439,12.3,.697,.293,.184,.104,.116,.303,.480,.611,.369,.410,.388,.345,.422,.803,.037,232,.258,1032,.254,.374,30,1
19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,973,1467,8309,0,2017,DET,25.4,37,45,38,44,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,.218,.263,.521,.492,10.9,24.1,.157,.516,12.1,81.2,.197,The Palace of Auburn Hills,"655,141","15,979",19805,.449,13.1,.737,.250,.189,.141,.157,.263,.492,.646,.384,.445,.416,.330,.455,.845,.043,283,.212,905,.203,.384,30,1
19805,3208,7129,0.45,886,2373,0.373,2322,4756,0.488,1207,1621,0.745,830,2756,3586,1868,628,317,1102,1508,8509,0,2018,DET,25.9,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,.227,.333,.543,.512,12.3,22.7,.169,.524,13.7,78.5,.172,Little Caesars Arena,"713,945","17,413",19805,.450,13.1,.667,.260,.185,.107,.116,.333,.488,.657,.346,.433,.388,.373,.465,.889,.044,271,.280,1047,.227,.392,19,1
19855,3185,7238,0.44,993,2854,0.348,2192,4384,0.5,1415,1893,0.747,936,2752,3688,1845,569,331,1135,1811,8778,1,2019,DET,26.9,41,41,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,.262,.394,.544,.509,12.3,24.8,.195,.526,12.8,78.7,.211,Little Caesars Arena,"675,963","16,487",19855,.440,14.0,.606,.263,.197,.074,.073,.394,.500,.638,.396,.365,.419,.348,.465,.831,.044,277,.304,1133,.252,.380,29,0
15965,2595,5658,0.459,791,2157,0.367,1804,3501,0.515,1097,1476,0.743,644,2109,2753,1589,490,299,1008,1299,7078,0,2020,DET,25.9,20,46,26,40,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,.261,.381,.561,.529,13.8,22.6,.194,.541,12.7,75.9,.186,Little Caesars Arena,"509,469","15,294",15965,.459,13.2,.619,.282,.214,.072,.050,.381,.515,.660,.400,.369,.401,.367,.499,.871,.061,314,.304,891,.284,.422,13,1
17430,2783,6162,0.452,832,2370,0.351,1951,3792,0.515,1278,1683,0.759,694,2381,3075,1743,531,371,1075,1477,7676,0,2021,DET,24.5,20.0,52.0,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,"14,250",396,17430,.452,13.5,.615,.273,.210,.073,.060,.385,.515,.660,.416,.359,.386,.351,.509,.901,.057,312,.303,1014,.226,.351,5,0
19780,3129,7267,0.431,925,2838,0.326,2204,4429,0.498,1413,1806,0.782,900,2625,3525,1924,630,393,1163,1799,8596,0,2022,DET,23.6,23,59,22,60,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,.249,.391,.533,.494,12.6,23.4,.194,.541,13.1,75.6,.226,Little Caesars Arena,"663,556","16,184",19780,.431,14.0,.609,.247,.209,.081,.073,.391,.498,.645,.422,.354,.376,.326,.498,.893,.039,257,.304,1187,.267,.361,20,0
19805,3244,7140,0.454,934,2659,0.351,2310,4481,0.516,1623,2106,0.771,916,2564,3480,1884,574,308,1237,1813,9045,0,2023,DET,24.1,17,65,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,.295,.372,.561,.520,13.3,24.9,.227,.557,11.9,74.0,.231,Little Caesars Arena,"759,715","18,596",19805,.454,13.8,.628,.217,.224,.111,.068,.372,.516,.677,.431,.432,.413,.351,.466,.832,.060,396,.249,942,.264,.372,13,0
19805,3130,6840,0.458,658,1632,0.403,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296,1,2013,GSW,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,+0.9,94.5,.255,.239,.545,.506,14.0,25.4,.201,.486,12.4,75.5,.211,Oracle Arena,"794,320","19,374",19805,.458,13.5,.761,.242,.173,.118,.229,.239,.475,.650,.361,.391,.418,.403,.542,.769,.045,284,.188,767,.226,.461,21,1
19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549,1,2014,GSW,26.3,51,31,54,28,4.80,0.34,5.15,107.5,102.6,+4.9,96.2,.247,.291,.550,.517,13.8,25.1,.186,.477,13.6,76.3,.224,Oracle Arena,"803,436","19,596",19830,.462,13.4,.709,.264,.176,.100,.169,.291,.496,.654,.394,.396,.412,.380,.540,.753,.055,363,.188,777,.240,.413,21,0
19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016,1,2015,GSW,26.6,67,15,65,17,10.10,-0.09,10.01,111.6,101.4,+10.2,98.3,.239,.311,.571,.540,13.1,24.1,.184,.470,14.3,74.5,.217,Oracle Arena,"803,436","19,596",19730,.478,13.1,.689,.288,.143,.104,.154,.311,.514,.673,.372,.442,.397,.398,.602,.821,.062,396,.206,939,.221,.459,24,0
