totals_minutes_played,totals_field_goals,totals_field_goals_attempted,totals_field_goal_pct,totals_three_point_field_goals,totals_three_point_attempts,totals_three_point_pct,totals_two_point_field_goals,totals_two_point_attempts,totals_two_point_pct,totals_free_throws,totals_free_throw_attempts,totals_free_throw_pct,totals_offensive_rebounds,totals_defensive_rebounds,totals_total_rebounds,totals_assists,totals_steals,totals_blocks,totals_turnovers,totals_personal_fouls,totals_points,made_playoffs,season,team_abbr,advanced_age,advanced_wins,advanced_losses,advanced_pythagorean_wins,advanced_pythagorean_losses,advanced_margin_of_victory,advanced_strength_of_schedule,advanced_simple_rating_system,advanced_offensive_rating,advanced_defensive_rating,advanced_net_rating,advanced_pace,advanced_free_throw_rate,advanced_three_point_attempt_rate,advanced_true_shooting_pct,advanced_offensive_effective_fg_pct,advanced_offensive_turnover_pct,advanced_offensive_offensive_rebound_pct,advanced_offensive_ft_per_fga,advanced_defensive_effective_fg_pct,advanced_defensive_turnover_pct,advanced_defensive_defensive_rebound_pct,advanced_defensive_ft_per_fga,advanced_arena,advanced_attendance,advanced_attendance_per_game,shooting_minutes_played,shooting_field_goal_pct,shooting_average_shot_distance,shooting_two_point_attempt_pct,shooting_fga_0_3_pct,shooting_fga_3_10_pct,shooting_fga_10_16_pct,shooting_fga_16_to_3pt_pct,shooting_three_point_attempt_pct,shooting_two_point_fg_pct,shooting_fg_0_3_pct,shooting_fg_3_10_pct,shooting_fg_10_16_pct,shooting_fg_16_to_3pt_pct,shooting_three_point_fg_pct,shooting_two_point_fg_assisted_pct,shooting_three_point_fg_assisted_pct,shooting_dunks_fga_pct,shooting_dunks_made,shooting_layups_fga_pct,shooting_layups_made,shooting_corner_three_pct_fga,shooting_corner_three_fg_pct,shooting_heaves_attempted,shooting_heaves_made
19855,3658,7574,0.483,882,2505,0.352,2776,5069,0.548,1513,1850,0.818,920,2719,3639,2049,580,401,1060,1541,9711,1,2023,ATL,24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,+0.3,100.7,.244,.331,.579,.541,11.2,25.1,.200,.552,12.4,75.8,.206,State Farm Arena,"719,787","17,556",19855,.483,13.2,.669,.250,.186,.133,.091,.331,.548,.696,.440,.486,.439,.352,.488,.755,.064,450,.242,1022,.262,.364,8,0
19855,2942,6544,0.45,628,1760,0.357,2314,4784,0.484,1432,1958,0.731,1047,2460,3507,1668,599,391,1206,1500,7944,1,2013,BKN,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,+2.0,88.8,.299,.269,.536,.498,14.0,30.9,.219,.503,13.1,73.7,.174,Barclays Center,"704,702","17,188",19855,.450,12.6,.731,.272,.203,.102,.154,.269,.484,.623,.405,.397,.400,.357,.484,.871,.041,249,.231,873,.349,.395,12,0
19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.497,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079,1,2014,BKN,30.0,44,38,38,44,-1.00,-0.58,-1.58,106.7,107.7,-1.0,91.4,.313,.301,.555,.514,14.1,21.7,.236,.509,14.9,72.3,.236,Barclays Center,"707,331","17,252",19880,.459,13.6,.699,.256,.171,.112,.160,.301,.497,.642,.413,.427,.405,.369,.491,.880,.052,309,.202,743,.243,.391,20,0
19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038,1,2015,BKN,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,.267,.240,.529,.491,13.0,23.9,.200,.506,12.9,73.7,.185,Barclays Center,"698,529","17,037",19930,.451,11.9,.760,.269,.213,.115,.163,.240,.489,.615,.444,.408,.397,.331,.488,.887,.040,243,.218,860,.285,.389,24,0
19755,3136,6920,0.453,531,1508,0.352,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089,0,2016,BKN,26.9,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,.246,.218,.527,.492,13.6,24.1,.186,.534,13.1,75.7,.176,Barclays Center,"620,142","15,125",19755,.453,11.6,.782,.284,.211,.106,.181,.218,.481,.608,.425,.404,.392,.352,.530,.844,.032,202,.266,1038,.309,.391,13,0
19755,3102,6987,0.444,877,2591,0.338,2225,4396,0.506,1592,2020,0.788,721,2879,3600,1756,593,387,1356,1726,8673,0,2017,BKN,26.0,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,.289,.371,.551,.507,14.7,19.6,.228,.513,11.6,76.1,.212,Barclays Center,"632,608","15,429",19755,.444,13.2,.629,.309,.173,.077,.070,.371,.506,.613,.418,.391,.374,.338,.454,.851,.035,225,.300,1173,.215,.375,21,0
19855,3136,7114,0.441,1041,2924,0.356,2095,4190,0.5,1428,1850,0.772,792,2852,3644,1941,512,390,1245,1688,8741,0,2018,BKN,25.1,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,.260,.411,.551,.514,13.6,21.0,.201,.517,11.0,77.0,.201,Barclays Center,"640,010","15,376",19855,.441,13.7,.589,.269,.175,.083,.062,.411,.500,.643,.379,.400,.354,.356,.507,.844,.043,269,.287,1098,.201,.376,13,1
19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,1,2019,BKN,25.4,42,40,41,41,-0.07,-0.33,-0.40,109.6,109.7,-0.1,100.8,.284,.403,.556,.520,13.0,23.8,.211,.512,11.6,76.4,.190,Barclays Center,"612,597","14,941",19980,.449,13.7,.597,.299,.166,.084,.048,.403,.513,.639,.373,.423,.366,.353,.508,.774,.051,326,.309,1207,.185,.377,14,1
17480,2908,6498,0.448,941,2746,0.343,1967,3752,0.524,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048,1,2020,BKN,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,.267,.423,.554,.520,13.1,23.2,.199,.511,11.0,77.8,.187,Barclays Center,"524,907","16,403",17480,.448,13.8,.577,.315,.150,.070,.042,.423,.524,.651,.358,.381,.413,.343,.518,.789,.068,383,.318,1061,.213,.369,13,0
17405,3106,6289,0.494,1020,2600,0.392,2086,3689,0.565,1305,1623,0.804,640,2559,3199,1929,484,379,975,1371,8537,1,2021,BKN,28.2,48.0,24.0,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,"30,491",847,17405,.494,14.1,.587,.271,.164,.097,.055,.413,.565,.693,.443,.480,.450,.392,.536,.795,.062,357,.261,936,.220,.408,9,0
