,advanced_rank,advanced_team,advanced_age,advanced_wins,advanced_losses,advanced_pythagorean_wins,advanced_pythagorean_losses,advanced_margin_of_victory,advanced_strength_of_schedule,advanced_simple_rating_system,advanced_offensive_rating,advanced_defensive_rating,advanced_net_rating,advanced_pace,advanced_free_throw_rate,advanced_three_point_attempt_rate,advanced_true_shooting_pct,advanced_,advanced_offensive_effective_fg_pct,advanced_offensive_turnover_pct,advanced_offensive_offensive_rebound_pct,advanced_offensive_ft_per_fga,advanced_,advanced_defensive_effective_fg_pct,advanced_defensive_turnover_pct,advanced_defensive_defensive_rebound_pct,advanced_defensive_ft_per_fga,advanced_,advanced_arena,advanced_attendance,advanced_attendance_per_game
24,24,Detroit Pistons,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,.282,.217,.521,,.487,14.3,28.3,.197,,.505,13.1,73.0,.209,,The Palace of Auburn Hills,"606,094","14,685"
25,25,New Orleans Hornets,24.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,.248,.224,.528,,.489,14.0,29.2,.193,,.520,13.1,74.4,.208,,New Orleans Arena,"565,930","13,803"
26,26,Cleveland Cavaliers,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,.265,.229,.514,,.473,13.0,28.1,.200,,.523,14.4,72.6,.225,,Quicken Loans Arena,"663,882","16,192"
27,27,Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,.271,.243,.532,,.491,13.4,26.6,.208,,.517,13.6,71.0,.227,,Sleep Train Arena,"563,743","13,750"
28,28,Phoenix Suns,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,.234,.210,.512,,.477,14.3,27.0,.174,,.512,14.2,71.9,.208,,US Airways Center,"632,913","15,437"
29,29,Orlando Magic,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,.197,.223,.514,,.485,13.7,25.4,.149,,.508,11.8,74.6,.195,,Amway Center,"722,716","17,627"
30,30,Charlotte Bobcats,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,.310,.210,.507,,.460,13.2,25.7,.233,,.524,13.2,71.1,.197,,Time Warner Cable Arena,"628,293","15,324"
31,,League Average,26.7,,,41,41,0.00,0.00,0.00,105.9,105.9,,92.0,.270,.243,.535,,.496,13.7,26.5,.204,,.496,13.7,73.5,.204,,,"710,653","17,346"
32,1,San Antonio Spurs*,28.9,62,20,61,21,7.72,0.28,8.00,110.5,102.4,+8.1,95.0,.240,.257,.571,,.537,13.5,22.7,.188,,.482,12.8,76.4,.184,,AT&T Center,"755,031","18,415"
33,2,Los Angeles Clippers*,28.1,57,25,59,23,6.98,0.30,7.27,112.1,104.8,+7.3,95.9,.353,.291,.567,,.526,12.7,25.0,.258,,.484,13.8,72.5,.222,,STAPLES Center,"787,692","19,212"
34,3,Oklahoma City Thunder*,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,+6.6,95.4,.303,.271,.566,,.520,14.0,26.5,.244,,.488,13.9,75.6,.221,,Chesapeake Energy Arena,"746,323","18,203"
35,4,Miami Heat*,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,+5.1,91.2,.300,.292,.590,,.554,14.6,20.6,.228,,.511,15.8,73.0,.212,,AmericanAirlines Arena,"811,036","19,781"
36,5,Golden State Warriors*,26.3,51,31,54,28,4.80,0.34,5.15,107.5,102.6,+4.9,96.2,.247,.291,.550,,.517,13.8,25.1,.186,,.477,13.6,76.3,.224,,Oracle Arena,"803,436","19,596"
37,6,Indiana Pacers*,27.2,56,26,54,28,4.40,-0.77,3.63,104.1,99.3,+4.8,92.5,.290,.235,.535,,.490,14.3,24.9,.226,,.460,12.9,76.8,.197,,Bankers Life Fieldhouse,"717,542","17,501"
38,7,Houston Rockets*,25.4,54,28,53,29,4.56,0.50,5.06,111.0,106.3,+4.7,96.3,.386,.330,.571,,.531,14.6,27.4,.275,,.489,12.5,74.1,.193,,Toyota Center,"743,082","18,124"
39,8,Portland Trail Blazers*,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,+4.1,94.9,.270,.290,.548,,.504,12.4,28.0,.220,,.488,10.9,74.7,.194,,Moda Center,"809,612","19,747"
40,9,Toronto Raptors*,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,+3.5,91.8,.306,.285,.545,,.498,13.2,27.2,.239,,.493,14.1,74.9,.237,,Air Canada Centre,"748,339","18,252"
41,10,Phoenix Suns,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,+2.8,95.8,.293,.300,.558,,.519,14.0,26.4,.222,,.496,13.9,73.7,.237,,US Airways Center,"650,739","15,872"
42,11,Minnesota Timberwolves,26.3,40,42,48,34,2.67,0.43,3.10,108.9,106.2,+2.7,97.3,.321,.245,.535,,.486,12.2,27.4,.249,,.518,14.8,74.4,.177,,Target Center,"597,157","14,565"
43,12,Dallas Mavericks*,30.6,49,33,48,34,2.40,0.50,2.91,111.2,108.7,+2.5,93.5,.253,.274,.564,,.526,12.7,24.6,.201,,.515,14.8,72.7,.229,,American Airlines Center,"817,982","19,951"
44,13,Chicago Bulls*,28.6,48,34,47,35,1.85,-0.66,1.20,102.5,100.5,+2.0,90.2,.290,.222,.518,,.471,14.2,27.2,.226,,.471,13.7,75.4,.189,,United Center,"890,370","21,716"
45,14,Memphis Grizzlies*,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,+1.7,89.9,.248,.171,.529,,.494,13.1,28.3,.184,,.497,13.8,75.7,.199,,FedEx Forum,"685,458","16,718"
46,15,Washington Wizards*,26.3,44,38,45,37,1.27,-0.79,0.48,106.0,104.6,+1.4,93.2,.248,.246,.538,,.506,13.6,25.2,.181,,.504,15.0,75.7,.220,,Verizon Center,"698,068","17,026"
47,16,Charlotte Bobcats*,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,.297,.219,.522,,.481,11.7,21.9,.219,,.491,12.6,77.6,.183,,Time Warner Cable Arena,"636,268","15,519"
48,17,Atlanta Hawks*,27.5,38,44,40,42,-0.48,-0.40,-0.88,105.9,106.4,-0.5,94.6,.266,.316,.554,,.515,14.3,21.0,.208,,.510,14.0,74.4,.196,,Philips Arena,"587,927","14,231"
49,18,New York Knicks,28.3,37,45,39,43,-0.79,-0.61,-1.40,108.3,109.1,-0.8,90.3,.248,.302,.541,,.505,12.5,25.1,.189,,.514,14.0,74.3,.245,,Madison Square Garden (IV),"812,292","19,812"
50,19,Brooklyn Nets*,30.0,44,38,38,44,-1.00,-0.58,-1.58,106.7,107.7,-1.0,91.4,.313,.301,.555,,.514,14.1,21.7,.236,,.509,14.9,72.3,.236,,Barclays Center,"707,331","17,252"
51,20,Denver Nuggets,26.0,36,46,35,47,-2.15,0.75,-1.40,106.0,108.2,-2.2,98.1,.306,.278,.536,,.497,14.0,27.5,.222,,.500,12.8,74.5,.233,,Pepsi Center,"692,898","16,900"
52,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
53,21,New Orleans Pelicans,24.3,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,.286,.193,.537,,.495,12.9,26.9,.220,,.515,13.6,73.8,.249,,Smoothie King Center,"672,029","16,391"
54,22,Sacramento Kings,24.9,28,54,33,49,-2.90,0.82,-2.08,105.7,108.8,-3.1,94.4,.331,.218,.532,,.484,13.9,27.8,.251,,.512,12.7,76.6,.234,,Sleep Train Arena,"667,949","16,291"
55,23,Cleveland Cavaliers,24.9,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,.268,.236,.518,,.479,13.0,27.2,.201,,.508,13.0,75.8,.199,,Quicken Loans Arena,"710,522","17,330"
56,24,Detroit Pistons,24.7,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,.296,.222,.514,,.482,12.9,31.4,.199,,.520,13.8,73.4,.218,,The Palace of Auburn Hills,"616,005","15,025"
57,25,Boston Celtics,25.4,25,57,28,54,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,.248,.251,.517,,.477,14.2,27.4,.193,,.505,13.4,74.2,.227,,TD Garden,"742,400","18,107"
58,26,Orlando Magic,24.6,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,.253,.235,.525,,.487,13.9,22.4,.193,,.504,13.0,75.5,.211,,Amway Center,"666,046","16,245"
59,27,Los Angeles Lakers,26.8,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,.263,.291,.542,,.505,13.7,20.2,.199,,.513,12.4,71.0,.192,,STAPLES Center,"771,974","18,829"
60,28,Utah Jazz,24.5,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,.271,.237,.523,,.484,13.9,25.5,.202,,.518,12.1,74.5,.227,,EnergySolutions Arena,"745,203","18,176"
61,29,Milwaukee Bucks,24.7,15,67,20,62,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,.274,.231,.519,,.479,14.1,27.1,.204,,.520,13.2,71.4,.225,,BMO Harris Bradley Center,"552,067","13,465"
62,30,Philadelphia 76ers,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,.268,.258,.510,,.475,14.8,24.8,.190,,.524,14.9,72.4,.244,,Wells Fargo Center,"568,632","13,869"
63,,League Average,26.6,,,41,41,0.00,0.00,0.00,106.7,106.7,,93.9,.284,.259,.541,,.501,13.6,25.5,.215,,.501,13.6,74.5,.215,,,"713,714","17,407"
64,1,Golden State Warriors*,26.6,67,15,65,17,10.10,-0.09,10.01,111.6,101.4,+10.2,98.3,.239,.311,.571,,.540,13.1,24.1,.184,,.470,14.3,74.5,.217,,Oracle Arena,"803,436","19,596"
65,2,Los Angeles Clippers*,28.8,56,26,58,24,6.59,0.22,6.80,112.4,105.5,+6.9,94.7,.303,.322,.565,,.533,11.6,22.8,.215,,.493,13.2,75.7,.231,,STAPLES Center,"785,892","19,168"
66,3,San Antonio Spurs*,29.8,55,27,58,24,6.20,0.14,6.34,108.5,102.0,+6.5,93.8,.256,.269,.555,,.517,13.1,23.4,.200,,.484,13.3,77.3,.190,,AT&T Center,"762,855","18,606"
67,4,Atlanta Hawks*,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,+5.8,93.9,.259,.321,.563,,.527,13.5,21.4,.201,,.492,14.9,73.4,.185,,Philips Arena,"713,909","17,412"
68,5,Cleveland Cavaliers*,26.9,53,29,53,29,4.48,-0.40,4.08,111.1,106.3,+4.8,92.3,.287,.334,.557,,.520,13.4,26.8,.216,,.502,12.6,74.7,.177,,Quicken Loans Arena,"843,042","20,562"
69,6,Portland Trail Blazers*,27.0,51,31,53,29,4.23,0.18,4.41,108.2,103.7,+4.5,94.2,.225,.316,.544,,.508,12.6,24.2,.180,,.476,11.3,76.2,.182,,Moda Center,"798,368","19,472"
70,7,Houston Rockets*,27.6,56,26,50,32,3.44,0.38,3.82,107.0,103.4,+3.6,96.5,.312,.392,.548,,.512,15.0,26.8,.223,,.486,14.6,72.9,.208,,Toyota Center,"747,412","18,230"
71,8,Memphis Grizzlies*,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,+3.5,92.0,.276,.184,.531,,.489,12.6,24.7,.214,,.492,14.5,75.3,.183,,FedEx Forum,"710,502","17,329"
